column,missing_count,completeness_pct
loan_id,0,100.0
issue_date,0,100.0
issue_year,0,100.0
issue_month,0,100.0
loan_amnt_inr,0,100.0
funded_amnt_inr,0,100.0
loan_term_months,0,100.0
int_rate_pct,0,100.0
installment_inr,0,100.0
annual_installment_inr,0,100.0
grade,0,100.0
sub_grade,0,100.0
loan_purpose,0,100.0
state_code,0,100.0
region,0,100.0
urban_index,0,100.0
application_type,0,100.0
pymnt_plan,0,100.0
hardship_flag,0,100.0
initial_list_status,0,100.0
disbursement_method,0,100.0
verification_status,0,100.0
rbi_repo_rate_pct,0,100.0
gdp_growth_pct,0,100.0
cpi_inflation_pct,0,100.0
rate_spread_pct,0,100.0
real_interest_rate_pct,0,100.0
branch_id,0,100.0
district_type,0,100.0
state_per_capita_inc_inr,0,100.0
state_literacy_rate_pct,0,100.0
state_agri_share_pct,0,100.0
state_industry_share_pct,0,100.0
state_services_share_pct,0,100.0
district_gdp_growth_pct,0,100.0
branch_age_years,0,100.0
branch_size,0,100.0
loan_officer_exp_years,139366,93.03
branch_npa_rate,0,100.0
branch_sanction_rate,140557,92.97
infrastructure_index,0,100.0
financial_inclusion_idx,0,100.0
credit_penetration_idx,0,100.0
covid_issue_year_flag,0,100.0
poor_monsoon_year_flag,0,100.0
has_collateral,0,100.0
collateral_type,1258896,37.06
collateral_value_inr,0,100.0
ltv_ratio_pct,1472196,26.39
loan_secured_flag,0,100.0
property_type,1679672,16.02
property_age_years,0,100.0
property_area_sqft,0,100.0
property_city_tier,1679672,16.02
vehicle_type,1879789,6.01
vehicle_age_years,0,100.0
insurance_flag,0,100.0
valuation_date,0,100.0
valuation_agency,1370048,31.5
charge_type,1258896,37.06
collateral_score,298379,85.08
prop_value_inr,0,100.0
vehicle_value_inr,0,100.0
business_asset_val_inr,0,100.0
has_credit_card,0,100.0
num_credit_cards,0,100.0
total_cc_limit_inr,0,100.0
total_cc_balance_inr,0,100.0
cc_utilization_pct,0,100.0
cc_late_payments_count,0,100.0
cc_overlimit_count,0,100.0
cash_advance_inr,160223,91.99
primary_card_type,560528,71.97
primary_cc_bank,560528,71.97
cc_spend_last3m_inr,0,100.0
avg_monthly_cc_spend_inr,0,100.0
top_spend_category,560528,71.97
cc_payment_score,160149,91.99
cc_default_risk_score,0,100.0
cc_emi_conversion_flag,0,100.0
customer_id,0,100.0
age,0,100.0
gender,0,100.0
emp_title,0,100.0
emp_length_years,0,100.0
home_ownership,0,100.0
annual_inc_inr,40066,98.0
dti_pct,0,100.0
cibil_score,0,100.0
earliest_cr_line,0,100.0
credit_hist_years,0,100.0
revol_bal_inr,0,100.0
revol_util_pct,140097,93.0
open_acc,0,100.0
total_acc,0,100.0
mort_acc,0,100.0
pub_rec,118951,94.05
delinq_2yrs,100207,94.99
num_inq_last6m,80130,95.99
num_inq_last12m,0,100.0
pct_tl_nvr_dlq,59892,97.01
total_rev_hi_lim_inr,0,100.0
bc_util_pct,160397,91.98
il_util_pct,0,100.0
all_util_pct,79649,96.02
avg_cur_bal_inr,100027,95.0
mths_since_last_delinq,0,100.0
mths_since_last_record,1598332,20.08
num_tl_op_past_12m,0,100.0
num_enquiries_30d,0,100.0
num_enquiries_90d,0,100.0
num_enquiries_6m,0,100.0
num_enquiries_12m,0,100.0
num_enquiries_24m,0,100.0
primary_enq_purpose,0,100.0
unique_lenders_enquired,0,100.0
rejected_applications,0,100.0
approved_applications,0,100.0
rejection_rate_pct,0,100.0
income_doc_type,308704,84.56
kyc_status,0,100.0
field_verification_status,119475,94.03
credit_committee_flag,0,100.0
loan_approved_date,0,100.0
processing_days,119899,94.01
sourcing_channel,0,100.0
sourcing_agent_type,0,100.0
policy_deviation_flag,0,100.0
policy_override_flag,0,100.0
sanctioned_amount_inr,0,100.0
disbursed_amount_inr,0,100.0
tat_within_sla_flag,0,100.0
dpd_bucket,0,100.0
npa_flag,0,100.0
risk_tier,0,100.0
cibil_score_band,10,100.0
recoveries_inr,0,100.0
recovery_fee_rate,0,100.0
policy_code,0,100.0
hardship_amount_inr,0,100.0
hardship_length_mths,0,100.0
net_loss_inr,0,100.0
provision_inr,0,100.0
installment_due_inr,0,100.0
total_emi_due_inr,0,100.0
total_emi_paid_inr,0,100.0
emi_overdue_inr,0,100.0
emi_bounce_count,0,100.0
consecutive_missed_emis,0,100.0
last_emi_payment_date,0,100.0
emi_advance_paid_inr,0,100.0
prepayment_flag,0,100.0
avg_payment_delay_days,120364,93.98
payment_mode,0,100.0
emi_bank_name,120236,93.99
penal_charges_inr,0,100.0
waiver_granted_flag,0,100.0
waiver_amount_inr,0,100.0
loan_restructured_flag,0,100.0
ots_offered_flag,0,100.0
ots_accepted_flag,0,100.0
emi_coverage_ratio,0,100.0
pdc_count,120057,94.0
emi_to_income_ratio,0,100.0
payment_discipline,0,100.0
loan_status,0,100.0
lgd_pct,0,100.0
total_pymnt_inr,0,100.0
total_pymnt_inv_inr,0,100.0
total_rec_prncp_inr,0,100.0
total_rec_int_inr,0,100.0
last_pymnt_amnt_inr,119889,94.01
out_prncp_inr,0,100.0
out_prncp_inv_inr,0,100.0
collection_recovery_fee,120086,94.0
collections_12mths_fee,0,100.0
mths_since_last_pymnt,0,100.0
num_accts_ever_120_pd,0,100.0
num_derog_rec,0,100.0
acc_now_delinq,0,100.0
chargeoff_within_12_mths,0,100.0
expected_loss_inr,0,100.0
dirty_flag,0,100.0
